idx,vehicle_x,vehicle_y,vehicle_yaw_deg,fork_x,fork_y,fork_yaw_deg
0,-3.45,-0.15,-6.000000000000001,-2.186957192882293,-0.2827511483499199,-6.000000000000001
1,-3.4446982776916806,-0.15045024573172364,-3.6165384345767317,-2.177227403495438,-0.2305600645070356,-3.6165384345767317
2,-3.4398337865246704,-0.150644939904391,-0.8575330000503586,-2.1699760266207746,-0.1696520336290913,-0.8575330000503586
3,-3.4353921752130923,-0.15059215903870765,2.350419430440402,-2.166460635273398,-0.09850812169254852,2.350419430440402
4,-3.4313590924710646,-0.1502999796553791,6.0925017839380295,-2.1685322528209605,-0.015509872231541239,6.0925017839380295
5,-3.42772018701271,-0.14977647827511098,10.462717755190761,-2.1788361218255865,0.08085004171269064,10.462717755190761
6,-3.424461107552147,-0.14902973141860879,15.555294217097844,-2.20097853826714,0.19154390622200082,15.555294217097844
7,-3.421567502803499,-0.14806781560657808,21.446734031399515,-2.2395049827745517,0.3162900191962983,21.446734031399515
8,-3.4190250214808846,-0.14689880735972446,28.165578600336357,-2.2994092955171066,0.45256814433536474,28.165578600336357
9,-3.4168193122984247,-0.14553078319875343,35.65255368587509,-2.384859888278384,0.5947122493089667,35.65255368587509
10,-3.4149360239702413,-0.14397181964437059,43.72628308621319,-2.497170341270584,0.7338699381108821,43.72628308621319
11,-3.4133608052104534,-0.14222999321728147,52.08224557972355,-2.6329081033212836,0.8596650013374847,52.08224557972355
12,-3.412079304733182,-0.14031338043819164,60.34547235645942,-2.7837225099872054,0.9633476809826426,60.34547235645942
13,-3.4110771712525483,-0.1382300578278066,68.16117638863585,-2.938641118285508,1.04062709036994,68.16117638863585
14,-3.4103400534826727,-0.13598810190683197,75.27398130346529,-3.0875096523795262,1.0922954696366376,75.27398130346529
15,-3.4098536001376756,-0.1335955891959733,81.55699619504733,-3.2233852232697133,1.1226406721928737,81.55699619504733
16,-3.409603459931678,-0.13106059621593613,86.99294203428748,-3.3429805657897234,1.137190715621016,86.99294203428748
17,-3.4095752815788,-0.128391199487426,91.63463376096776,-3.445803137840114,1.1410919797751862,91.63463376096776
18,-3.4097547137931636,-0.1255954755311485,95.56823403339088,-3.5329842236337003,1.138411837701042,95.56823403339088
19,-3.4101274052888884,-0.12268150086780916,98.88840057730013,-3.606355578383546,1.1320672803963663,98.88840057730013
20,-3.4106790047800954,-0.11965735201811355,101.68478702670748,-3.667888661079193,1.124023954710624,101.68478702670748
21,-3.4113951609809043,-0.11653110550276721,104.03624346792655,-3.7194154047770485,1.115549869681804,104.03624346792655
22,-3.4122615226054367,-0.11331083784247573,106.00933399091227,-3.76251983938354,1.1074344720103904,106.00933399091227
23,-3.4132637383678137,-0.11000462555794462,107.6589238782535,-3.7985182471445094,1.1001519607841812,107.6589238782535
24,-3.4143874569821553,-0.10662054516987945,109.02957047407067,-3.8284786979250356,1.0939744923737484,109.02957047407067
25,-3.415618327162581,-0.10316667319898579,110.15708321224096,-3.8532541474532986,1.0890476065336765,110.15708321224096
26,-3.4169419976232134,-0.0996510861659692,111.06997104388,-3.873516895844853,1.085439358616158,111.06997104388
27,-3.418344117078172,-0.09608186059153521,111.79067501188727,-3.8897893488666617,1.0831718836992756,111.79067501188727
28,-3.4198103342415784,-0.0924670729963894,112.33656746925944,-3.9024694807917193,1.0822414645785656,112.33656746925944
29,-3.4213262978275525,-0.0888147999012373,112.7207340114817,-3.9118509227588385,1.0826311409496503,112.7207340114817
30,-3.422877656550215,-0.08513311782678451,112.9525649921314,-3.918138174029312,1.0843184715202636,112.9525649921314
31,-3.4244500591236857,-0.08143010329373652,113.03818355293792,-3.9214575646582563,1.087280100068202,113.03818355293792
32,-3.4260291542620878,-0.07771383282279895,112.98073280232401,-3.92186453886395,1.0914941347247726,112.98073280232401
33,-3.4276005906795395,-0.07399238293467733,112.78053908429968,-3.9193476980929773,1.0969409124970124,112.78053908429968
34,-3.4291500170901625,-0.07027383015007717,112.43516248515768,-3.9138298954648434,1.1036024050206945,112.43516248515768
35,-3.4306630822080773,-0.0665662509897041,111.93934036325962,-3.905166533100498,1.1114602661529214,111.93934036325962
36,-3.432125434747405,-0.06287772197426365,111.28482502757214,-3.893141094250644,1.1204922800507977,111.28482502757214
37,-3.4335227234222643,-0.059216319624461375,110.46011305210453,-3.8774578580029013,1.1306666982747235,110.46011305210453
38,-3.434840596946779,-0.05559012046100284,109.45006174350436,-3.8577317228155636,1.1419336144442525,109.45006174350436
39,-3.4360647040350676,-0.052007201004593516,108.23538932097102,-3.8334751599062185,1.15421206992598,108.23538932097102
40,-3.4371806934012508,-0.0484756377759391,106.79206203971732,-3.804082631346236,1.1673709676526465,106.79206203971732
41,-3.4381742137594498,-0.045003507295745086,105.09058862739083,-3.7688135285223345,1.1812010610912471,105.09058862739083
42,-3.4390309138237853,-0.04159888608471695,103.09527851742044,-3.726776141954301,1.195374308324975,103.09527851742044
43,-3.439736442308378,-0.03826985066356034,100.76358959737874,-3.6769178977224524,1.2093859340814395,100.76358959737874
44,-3.440276447927348,-0.03502447755298082,98.04581507747848,-3.618031868953643,1.222474234293582,98.04581507747848
45,-3.440636579394816,-0.03187084327368389,94.88556530244705,-3.548797282771946,1.2335149722960042,94.88556530244705
46,-3.440802485424904,-0.028817024346375165,91.22181053903303,-3.4678826961720435,1.2408942271537013,91.22181053903303
47,-3.440759814731731,-0.02587109729176012,86.9936400565001,-3.3741523714288717,1.2423810261035277,86.9936400565001
48,-3.440494216029418,-0.023041138630544394,82.14919424065012,-3.2670197819321203,1.2350552888004465,82.14919424065012
49,-3.439991338032086,-0.0203352248834335,76.6599768278969,-3.146964896387393,1.2153975554930723,76.6599768278969
50,-3.4392368294538556,-0.01776143257113299,70.54011563088454,-3.0161404097347346,1.1796897854836408,70.54011563088454
51,-3.4382163390088474,-0.015327838214348416,63.866353450731204,-2.8788239418755444,1.124838880309507,63.866353450731204
52,-3.436915515411182,-0.013042518333785348,56.7894970547744,-2.7413154303958667,1.0495206664823864,56.7894970547744
53,-3.435320007374981,-0.0109135494501494,49.526047585241024,-2.6109601010863477,0.95517689398866,49.526047585241024
54,-3.4334154636143634,-0.008949008084145999,42.3255135627114,-2.494464671849715,0.8461950795669004,42.3255135627114
55,-3.4311875328434507,-0.007156970756480741,35.42345903844009,-2.396276536883885,0.7289539111369879,35.42345903844009
56,-3.4286218637763635,-0.005545513987859304,29.000693572481016,-2.3178622890146636,0.6101761496518151,29.000693572481016
57,-3.425704105127222,-0.004122714298987144,23.164417723692257,-2.2580917452801437,0.495458487441367,23.164417723692257
58,-3.422419905610148,-0.002896648210569755,17.95252011270402,-2.2142533277520364,0.3885538852500717,17.95252011270402
59,-3.418754913939261,-0.0018753922433127769,13.351338332733524,-2.1830800265165458,0.2913950846084492,13.351338332733524
60,-3.414694778828682,-0.0010670229179217698,9.316025396079526,-2.1614454719257594,0.20452036664511425,9.316025396079526
61,-3.4102251489925317,-0.0004796167551022667,5.7871595926174,-2.146697918231743,0.1275787181004365,5.7871595926174
62,-3.405331673144931,-0.00012125027555980061,2.701838834207212,-2.1367434526090108,0.05974465586063694,2.701838834207212
63,-3.4,0.0,0.0,-2.13,0.0,0.0
